date,sale
1/1/00,"3,977.33 "
2/1/00,"3,890.34 "
3/1/00,"4,510.57 "
4/1/00,"4,233.87 "
5/1/00,"4,589.17 "
6/1/00,"4,518.91 "
7/1/00,"4,598.97 "
8/1/00,"4,646.02 "
9/1/00,"4,496.78 "
10/1/00,"4,616.36 "
11/1/00,"4,523.67 "
12/1/00,"4,362.78 "
13/1/00,"4,411.36 "
14/1/00,"4,233.86 "
15/1/00,"4,904.09 "
16/1/00,"4,461.70 "
17/1/00,"4,904.86 "
18/1/00,"4,774.21 "
19/1/00,"4,759.96 "
20/1/00,"4,888.74 "
21/1/00,"4,831.58 "
22/1/00,"4,997.35 "
23/1/00,"4,894.52 "
24/1/00,"4,684.89 "
25/1/00,"4,659.66 "
26/1/00,"4,815.63 "
27/1/00,"5,271.97 "
28/1/00,"4,857.23 "
29/1/00,"5,348.04 "
30/1/00,"5,116.31 "
31/1/00,"5,336.13 "
1/2/00,"5,217.59 "
2/2/00,"5,293.07 "
3/2/00,"5,464.45 "
4/2/00,"5,227.74 "
5/2/00,"5,043.82 "
6/2/00,"5,080.03 "
7/2/00,"4,987.27 "
8/2/00,"5,793.33 "
9/2/00,"5,218.53 "
10/2/00,"5,781.86 "
11/2/00,"5,591.63 "
12/2/00,"5,543.49 "
13/2/00,"5,504.18 "
14/2/00,"5,522.38 "
15/2/00,"5,653.90 "
16/2/00,"5,475.71 "
17/2/00,"5,213.09 "
18/2/00,"5,206.53 "
19/2/00,"5,252.87 "
20/2/00,"6,023.14 "
21/2/00,"5,448.91 "
22/2/00,"6,029.81 "
23/2/00,"5,867.62 "
24/2/00,"5,887.62 "
25/2/00,"5,898.41 "
26/2/00,"5,815.58 "
27/2/00,"5,805.83 "
28/2/00,"5,737.42 "
29/2/00,"5,387.98 "
1/3/00,"5,510.29 "
2/3/00,"5,545.13 "
3/3/00,"6,225.20 "
4/3/00,"5,579.73 "
5/3/00,"6,136.25 "
6/3/00,"6,036.76 "
7/3/00,"6,078.61 "
8/3/00,"6,112.02 "
9/3/00,"6,031.11 "
10/3/00,"6,117.33 "
11/3/00,"5,964.09 "
12/3/00,"5,763.83 "
13/3/00,"5,818.59 "
14/3/00,"5,702.75 "
15/3/00,"6,384.49 "
16/3/00,"5,730.20 "
17/3/00,"6,313.63 "
18/3/00,"6,192.71 "
19/3/00,"6,313.55 "
20/3/00,"6,218.79 "
21/3/00,"5,905.43 "
22/3/00,"5,898.13 "
23/3/00,"5,400.93 "
24/3/00,"4,823.44 "
25/3/00,"4,700.12 "
26/3/00,"4,880.65 "
27/3/00,"5,693.40 "
28/3/00,"5,165.49 "
29/3/00,"5,847.61 "
30/3/00,"5,785.33 "
31/3/00,"5,923.01 "
1/4/00,"6,014.81 "
2/4/00,"5,935.72 "
3/4/00,"6,162.35 "
4/4/00,"5,873.81 "
5/4/00,"5,740.62 "
6/4/00,"5,812.06 "
7/4/00,"5,757.53 "
8/4/00,"6,648.63 "
9/4/00,"6,019.05 "
10/4/00,"6,635.25 "
11/4/00,"6,371.72 "
12/4/00,"6,586.25 "
13/4/00,"6,416.85 "
14/4/00,"6,353.85 "
15/4/00,"6,540.12 "
16/4/00,"6,193.84 "
17/4/00,"6,098.11 "
18/4/00,"6,061.19 "
19/4/00,"5,960.87 "
20/4/00,"6,728.45 "
21/4/00,"5,986.19 "
22/4/00,"6,654.06 "
23/4/00,"6,589.79 "
24/4/00,"6,733.89 "
25/4/00,"6,716.76 "
26/4/00,"6,684.16 "
27/4/00,"6,044.43 "
28/4/00,"5,495.30 "
